Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
scenario_restart_no_change_6add1590		Tu fiksi restartē ECDIS sistēmu. GPS signāls atgriežas, bet rādījumi paliek nemainīgi.	game/scenarios/scenario_1.rpy	101	"[what]"
scenario_restart_no_change_ae68e7f2		Restartēšana nesniedza jaunu informāciju.	game/scenarios/scenario_1.rpy	102	"[what]"
scenario_restart_no_change_f522cae0		Tu saproti, ka nepieciešams alternatīvs risinājums.	game/scenarios/scenario_1.rpy	103	"[what]"
scenario_visual_crosscheck_ccd2cb49		Tu centies saskatīt orientierus - bet migla ir pārāk bieza, neko redzēt nevar.	game/scenarios/scenario_1.rpy	117	"[what]"
scenario_visual_crosscheck_3d665599		Papīrs un karte nepieviļ - veicu pozīcijas aprēķinus ar lagrēķinu, izmantojot kursu un pēdējos pārbaudītos atrašanās vietas rādītājus.	game/scenarios/scenario_1.rpy	118	"[what]"
scenario_visual_crosscheck_446ad22d		Ar aprēķina palīdzību tu pārliecinies, ka RADAR signāls ir pareizs. Kuģis var turpināt kursu uz galamērķi.	game/scenarios/scenario_1.rpy	119	"[what]"
scenario_backup_gnss_c3be1797		Tu pārslēdzies uz daudzfrekvenču GNSS uztvērēju. Var uztvert Galileo signālu.	game/scenarios/scenario_1.rpy	123	"[what]"
scenario_backup_gnss_d2d75283		Parādās atšķirība starp abiem signāliem. Jaunais signāls tuvāk atbilst RADAR datiem.	game/scenarios/scenario_1.rpy	124	"[what]"
scenario_backup_gnss_4c6479c8		Ar aprēķina palīdzību tu pārliecinies, ka Galileo un RADAR signāls ir pareizs. Kuģis var turpināt kursu uz galamērķi.	game/scenarios/scenario_1.rpy	128	"[what]"
scenario_backup_gnss_adb4ee8f		Jaunais signāls izrādījās pareizs, taču tas netika pārbaudīts. Kuģis var turpināt kursu uz galamērķi.	game/scenarios/scenario_1.rpy	131	"[what]"
scenario_1_good_10094bf2	e	Izcili darīts! {u}Šādi jāreaģē profesionālim{/u}.	game/scenarios/scenario_1.rpy	138	e "[what]"
scenario_1_good_a356ffee	e	Tu izmantoji kombinētu navigācijas metožu pieeju, lai pārbaudītu datu pareizumu.	game/scenarios/scenario_1.rpy	139	e "[what]"
scenario_1_bad_52668ba1	e	Tava izvēle gandrīz noveda pie katastrofas. GPS dati bija viltoti.	game/scenarios/scenario_1.rpy	151	e "[what]"
scenario_1_mid_99f22e44	e	Tu izvēlējies salīdzinoši drošu ceļu, bet nenovērtēji situāciju līdz galam. Šādos gadījumos labāk izmantot kombinētu navigācijas metožu pieeju, iekļaujot arī tradicionālas metodes ar aprēķiniem.	game/scenarios/scenario_1.rpy	161	e "[what]"
scenario_1_mid_88d7cae4	e	Tāpat apsveicu ar veiksmīgu iznākumu!	game/scenarios/scenario_1.rpy	162	e "[what]"
scenario_1_summary_1e75f4cd	e	GNSS signāli nav absolūti droši un precīzi. Tos var traucēt, viltot, kā arī tie var vienkārši pazust, ja ir sistēmas kļūme vai traucējumi.	game/scenarios/scenario_1.rpy	171	e "[what]"
scenario_1_summary_d5668f0b	e	Tas pats var attiekties arī uz RADAR datiem. Tāpēc ir svarīgi izmantot kombinētu navigācijas metožu pieeju, lai pārbaudītu datu pareizumu.	game/scenarios/scenario_1.rpy	172	e "[what]"
scenario_1_summary_91c973c2	e	Vienmēr salīdzini dažādus avotus un nepaļaujies tikai uz tehnoloģijām.	game/scenarios/scenario_1.rpy	173	e "[what]"
scenario_1_summary_6db01506	e	Scenārijs balstīts uz notikumiem 2017. gadā Melnajā jūrā. Krievijas piekrastei tuvos ūdeņos vairākiem kuģiem tika viltoti GNSS signāli. Daļa no tiem gandrīz uzpeldēja uz krasta.	game/scenarios/scenario_1.rpy	174	e "[what]"
scenario_1_summary_d5637e2b	e	1. daļa pabeigta!	game/scenarios/scenario_1.rpy	177	e "[what]"
scenario_2_96cd6425	e	Sveicināts uz klāja!	game/scenarios/scenario_2.rpy	19	e "[what]"
scenario_2_079fea34	e	Kāpēc esam ārā? Iesim zvejot!	game/scenarios/scenario_2.rpy	23	e "[what]"
scenario_2_ff4c846f	e	Tikai šoreiz Tu būsi loms, bet es - makšķernieks. Mans uzdevums būs Tevi pievilināt ar dažādām ēsmām.	game/scenarios/scenario_2.rpy	27	e "[what]"
scenario_2_9e0da05a	e	Bet kāpēc tādas lomas? Scenārijs būs par {u}pikšķerēšanu{/u}.	game/scenarios/scenario_2.rpy	28	e "[what]"
scenario_2_c51a06a3	e	Tā ir kiberuzbrukumu metode, kas ar maldinošām metodēm mēģina pievilināt Tavu uzmanību un uzticību, lai iegūtu Tavus personīgos vai uzņēmuma datus.	game/scenarios/scenario_2.rpy	29	e "[what]"
scenario_2_8d529acb	e	Angļu valodā šādus uzbrukumus sauc par {u}phishing attack{/u} - saskan ar vārdu "fish" - zivis!	game/scenarios/scenario_2.rpy	30	e "[what]"
scenario_2_5a5dd832	e	Makšķeres galā ir ēsma - tā var būt aizdomīga e-pasta vēstule vai tīmekļa lapa, kas uz pirmā skatiena izskatās kā īsta.	game/scenarios/scenario_2.rpy	34	e "[what]"
scenario_2_ef571b63	e	Tavs uzdevums - spēt noteikt pazīmes, kas liecinātu par to, vai inforācija ir patiesa vai maldinoša.	game/scenarios/scenario_2.rpy	35	e "[what]"
scenario_2_8309d4c2	nvl_narrator	Jauns ziņojums	game/scenarios/scenario_2.rpy	37	nvl_narrator "[what]"
scenario_2_aa47a253	p_nvl	Jums ir ienākuši 6 jauni e-pasti.	game/scenarios/scenario_2.rpy	38	p_nvl "[what]"
scenario_2_3d1bc603	e	Tieši laikā!	game/scenarios/scenario_2.rpy	43	e "[what]"
scenario_2_c5abcc34	e	Krāpniekiem e-pasti ļooti patīk, jo ar tiem ikviens asprātis var izlikties par kādu uzticamu avotu. Turklāt e-pastus var izsūtīt plašam saņēmēju lokam vienlaicīgi, gaidot, kad kāds paķers ēsmu.	game/scenarios/scenario_2.rpy	47	e "[what]"
scenario_2_3b8b544b	e	Šķietami mazas nianses spēj palīdzēt pateikt priekšā, vai informācija patiesa. Arī zināšanas par metodēm, ar kādiem pikšķerētāji zvejo informāciju, ļoti noder. Bet vai Tu spēsi atšķirt īsto no neīstā?	game/scenarios/scenario_2.rpy	48	e "[what]"
scenario_2_47dad172	e	Pēc kārtas vērsi vaļā dažādus e-pastus, kas te sasūtīti. Kopumā būs 6 piemēri. Sākumā ēsmas centies noteikt ar savām acīm, tad veic izvēli, un pēc tam es visu paskaidrošu, ja kaut kas būs palaists garām.	game/scenarios/scenario_2.rpy	49	e "[what]"
scenario_2_9e46b413	e	E-pastiem būs pogas un saites - uz tām klikšķināt nevar (uz nekādiem brīnumiem nevedīšu.. diemžēl {image=emoji/sweat.png}). Taču, turot kursoru virs tām, apakšā parādīsies saite, uz kurieni tās ved. Esi acīgs!	game/scenarios/scenario_2.rpy	50	e "[what]"
scenario_2_7180a78c	e	Lai nebūtu tik vienkārši, varbūt kāds e-pasts būs īsts. Kad tas apskatīts, spied jebkur uz ekrāna un veic izvēli par to, vai tas īsts vai ēsma!	game/scenarios/scenario_2.rpy	51	e "[what]"
scenario_2_19df88f7	e	Lai veicas!	game/scenarios/scenario_2.rpy	55	e "[what]"
scenario_2_33046f26		1. E-pasts - piedāvājums no "{color=#FF0000}Coca-Cola{/color}"	game/scenarios/scenario_2.rpy	59	"[what]"
scenario_2_6a5b9637	e	Nu, nu - esam uzmanīgāki.	game/scenarios/scenario_2.rpy	68	e "[what]"
scenario_2_76cfe930	e	Pareizi! Piedāvājums tiešām pārāk labs, lai būtu īsts.	game/scenarios/scenario_2.rpy	72	e "[what]"
scenario_2_0ba0580c	e	Šis tik tiešām bija īsts mikslis!	game/scenarios/scenario_2.rpy	76	e "[what]"
scenario_2_3a2b2fc2	e	E-pasts apgalvo, ka ir no Coca-Cola, taču sūtītāja adrese ir ļoti nejauša - tas nav neiespējami arī īstam e-pastam, taču ir aizdomīgs signāls.	game/scenarios/scenario_2.rpy	80	e "[what]"
scenario_2_4512d4ec	e	Saturs - pat teksts - viss ir ievietots vienā lielā attēlā. Lai gan dažos īstos e-pastos tas tiek izmantots, šī tehnika bieži tiek pielietota, lai izvairītos no atklāšanas.	game/scenarios/scenario_2.rpy	81	e "[what]"
scenario_2_8fba5446	e	Saite neved uz Coca-Cola mājaslapu, un tā ir veidota tā, lai noslēptu pāradresācijas un novērstu lasītāja uzmanību - tā aktivizējas tikai ar tekstu pēc # zīmes. Vai spēji uzķert?	game/scenarios/scenario_2.rpy	82	e "[what]"
scenario_2_3fe6324d	e	Kas tālāk?	game/scenarios/scenario_2.rpy	85	e "[what]"
scenario_2_13b76cba		2. E-pasts - ziņojums no Google	game/scenarios/scenario_2.rpy	89	"[what]"
scenario_2_493f9754	e	Pareizi! Šoreiz e-pasts pavisam īsts.	game/scenarios/scenario_2.rpy	98	e "[what]"
scenario_2_ac0950a9	e	Šoreiz nebūs pareizi. E-pasts ir pavisam reāls. Bet, kā saka - drošs paliek drošs. Nevaru dikti piesieties!	game/scenarios/scenario_2.rpy	102	e "[what]"
scenario_2_344e5036	e	Galvenā saite ir gara, kas var šķist aizdomīgi, bet šajā gadījumā tā ved uz oficiālu lietotāja konta lapu.	game/scenarios/scenario_2.rpy	107	e "[what]"
scenario_2_fc0d4d2d	e	Vērts zināt - īstie ziņojumi no Google vienmēr nāks no "no-reply@accounts.google.com" e-pasta. Sarakstu ar aktuālajiem brīdinājumiem var arī apskatīt apakšējā saitē.	game/scenarios/scenario_2.rpy	108	e "[what]"
scenario_2_37fc9461		3. E-pasts - dokuments no kolēģa	game/scenarios/scenario_2.rpy	113	"[what]"
scenario_2_ce0890a3	e	Nebūs pareizi - šis ir pikšķerētāja darbs.	game/scenarios/scenario_2.rpy	122	e "[what]"
scenario_2_ab06f4ee	e	Trāpīts! Būsi pamanījis maldinošo saiti.	game/scenarios/scenario_2.rpy	126	e "[what]"
scenario_2_2507f3a6	e	Šis ir viens no visbīstamākajiem pikšķerēšanas veidiem. Redzi- te uzbrucējs tēlo kolēģi, iespējams pazīstamu, un ir izveidojis šķietami ticamu ziņojumu no Google Drive.	game/scenarios/scenario_2.rpy	131	e "[what]"
scenario_2_a68e6535	e	Uzbrukumus, kas ir tieši mērķēti kādam darbiniekam vai uzņēmumam, sauc par aktīvi mērķētiem uzbrukumiem. Angliski tos sauc "Spear phishing attack" - tulkojas kā šķēpu zvejošana.	game/scenarios/scenario_2.rpy	132	e "[what]"
scenario_2_4a2dd878	e	Uzbrukumi var būt ļoti efektīvi, ja upuris vispirms rūpīgi nepārbauda informāciju. Šādi uzbrukumi ir retāki, jo uzbrucējam vispirms jāiegūst informācija par uzņēmumu vai personu.	game/scenarios/scenario_2.rpy	133	e "[what]"
scenario_2_66e4f384	e	Kā varēja šo uzbrukumu atklāt? Pirmkārt, Google Drive ziņojumi nāks no pašas platformas e-pasta - ne no sūtītāja konta. Otrkārt, saitē svītras "--" imitē īsto saiti.	game/scenarios/scenario_2.rpy	134	e "[what]"
scenario_2_ea87f4e1	e	Tomēr - kas bija galvenais rādītājs? Saites sākumā redzamais HTTP protokols.	game/scenarios/scenario_2.rpy	135	e "[what]"
scenario_2_b2fb8a34	e	HTTP ir parasts interneta savienojums, bet HTTPS ir drošāks - tas šifrē informāciju, lai to nevarētu pārtvert vai nolasīt citi. Ja redzi "https://", tas nozīmē, ka vietne ir drošāka, taču ne vienmēr.	game/scenarios/scenario_2.rpy	136	e "[what]"
scenario_2_67af79b4	e	Ko vēl vērts zināt - tā kā lielākā daļa krāpnieku nezina tavu vārdu, viņi uzrunās tevi vispārīgos veidos ar standarta uzrunām.	game/scenarios/scenario_2.rpy	137	e "[what]"
scenario_2_5ccfb2be	e	Ar darbu saistītos un personīgi adresētos e-pastos šim jāpievērš pastiprināta uzmanība, jo kolēģi parasti pazīst vai zin viens otru. Šajā gadījumā arī "Laura" uzrunā, neminot saņēmēja vārdu.	game/scenarios/scenario_2.rpy	138	e "[what]"
scenario_2_23efd58a	e	Veram vaļā nākamo!	game/scenarios/scenario_2.rpy	142	e "[what]"
scenario_2_202cfd2a		4. E-pasts - ziņa no Valsts ieņēmumu dienesta	game/scenarios/scenario_2.rpy	146	"[what]"
scenario_2_356687f5	e	Esi uzmanīgāks! Šī nav oficiāla VID saite.	game/scenarios/scenario_2.rpy	155	e "[what]"
scenario_2_d339cc83	e	VID nekad ar Tevi tā nesazinātos.	game/scenarios/scenario_2.rpy	156	e "[what]"
scenario_2_e5cdbfda	e	Tieši tā! VID nekad ar Tevi tā nesazinātos.	game/scenarios/scenario_2.rpy	160	e "[what]"
scenario_2_c0834213	e	Kas jāzin - VID un citas valsts institūcijas nesūta pieteikšanās saites e-pastā. Arī stils un valoda e-pastā nav formāla un stilistiski pareiza.	game/scenarios/scenario_2.rpy	167	e "[what]"
scenario_2_46ce7597	e	Oficiālās VID lapas ir "vid.gov.lv" un "eds.vid.gov.lv". Arī varēja pamanīt, ka saite izmanto "web.app", kas bieži tiek izmantots pikšķerēšanai.	game/scenarios/scenario_2.rpy	168	e "[what]"
scenario_2_e6c715be	e	Arī var manīt, ka e-pasta adrese "@cuirsarie.fr" nav saistīta ar VID. Valsts iestādes reti sūta e-pastus - labāka alternatīva ir E-adreses izmantošana, kas ir ļoti drošs variants.	game/scenarios/scenario_2.rpy	169	e "[what]"
scenario_2_e7b86148	e	Pikšķerētāji ielikuši pieslēgšanās kodu, kas dod lasītājam maldīgu iespaidu par e-pasta autentiskumu. Ja tiek uzzvanīts, operatori var turpināt maldināt un pieprasīt sensitīvu informāciju.	game/scenarios/scenario_2.rpy	170	e "[what]"
scenario_2_d18c3b74	e	Kopumā galvenais ieteikums - svarīgām saitēm pieslēgties tikai caur organizāciju oficiālajām saitēm no pārlūka.	game/scenarios/scenario_2.rpy	171	e "[what]"
scenario_2_d5927d08	e	Ejam tālāk!	game/scenarios/scenario_2.rpy	175	e "[what]"
scenario_2_ad99b35a		5. E-pasts - ziņojums no "{color=#0000FF}PayPal{/color}"	game/scenarios/scenario_2.rpy	179	"[what]"
scenario_2_b2588197	e	Uzķēries! Esi uzmanīgāks.	game/scenarios/scenario_2.rpy	188	e "[what]"
scenario_2_c389adf9	e	Tieši tā! Šis ir pikšķerētāja darbs.	game/scenarios/scenario_2.rpy	192	e "[what]"
scenario_2_283f3d92	e	Pikšķerēšanas e-pasti, kas tēlo finansiālus uņēmumus, ir ļoti izplatīti, jo veiksmīgs uzbrukums var nest lielu peļņu.	game/scenarios/scenario_2.rpy	196	e "[what]"
scenario_2_aa391504	e	Šajā gadījumā varētu nodomāt, ka ar e-pastu viss ir kārtībā - tas ved uz droša tipa saiti, kā arī sūtītāja e-pasts var šķist ticams.	game/scenarios/scenario_2.rpy	201	e "[what]"
scenario_2_73969b05	e	Taču, pievēršot lielāku uzmanību, varēja manīt, ka saite patiesībā ved uz pavisam citu vietu - "https://www.palpay.com". Jau pēc nosaukuma redzams, ka kaut kas nav labi.	game/scenarios/scenario_2.rpy	202	e "[what]"
scenario_2_1edcdac5	e	Tekstā izmantoti nezināmi un neizskaidroti iemesli problēmām. Raksturīga ir arī steidzība - viss jāizdara ātri un bez liekas domāšanas. Vizuālais izkārtojums arī varētu būt labāks.	game/scenarios/scenario_2.rpy	203	e "[what]"
scenario_2_841b0307	e	Pikšķerētājs maldina lasītāju, minot, ka paroles jāsargā un jāpiesakās tikai caur doto "oficiālo" saiti. Viss tā kā būtu pareizi, bet šādā veidā pats cenšas izlikties par īsto un pareizo.	game/scenarios/scenario_2.rpy	204	e "[what]"
scenario_2_069040e1	e	Galvenā atziņa - pārbaudam gan e-pastā redzamo saiti, {u}gan{/u} tās reālo adresi ar kursoru.	game/scenarios/scenario_2.rpy	205	e "[what]"
scenario_2_6e2b75a5	e	Pēdējais e-pasts - beidzot!	game/scenarios/scenario_2.rpy	209	e "[what]"
scenario_2_6d7af2aa		6. E-pasts - ziņa no "{color=#0000FF}Dropbox{/color}"	game/scenarios/scenario_2.rpy	213	"[what]"
scenario_2_0a2b4f23	e	Trāpīts! Šis ir īsts ziņojums no Dropbox.	game/scenarios/scenario_2.rpy	222	e "[what]"
scenario_2_49f90b85	e	Šoreiz nebūs pareizi. Šis ir īsts ziņojums no Dropbox.	game/scenarios/scenario_2.rpy	226	e "[what]"
scenario_2_46c909cf	e	Šeit ir redzams piemērs īstam un drošam e-pastam no uzticama sūtītāja.	game/scenarios/scenario_2.rpy	231	e "[what]"
scenario_2_920142fa	e	Lai arī pēc iepriekšējiem piemēriem saprotams, ka skatamies uz visu ar lielu skepsi, šoreiz, ja ieskatās, visas saites ir drošas un sūtītāja adrese nerada pamatu šaubām.	game/scenarios/scenario_2.rpy	232	e "[what]"
scenario_2_f2690ad8	e	Arī redzams, ka sūtītājs neprasa vai nepiedāvā paust savu personīgo informāciju - tā ir laba zīme.	game/scenarios/scenario_2.rpy	233	e "[what]"
scenario_2_9adb449c	e	Nu ko - būsim izskatījuši visu, kas bija sasūtīts. Cerams spēji atrast daļu makšķerētāju trikus!	game/scenarios/scenario_2.rpy	237	e "[what]"
scenario_2_3349b0a7	e	Šeit vien bija pāris piemēri, bet patiesais daudzums ar veidiem, kādos pikšķerētāji apspēlē upurus, ir ievērojami lielāks.	game/scenarios/scenario_2.rpy	238	e "[what]"
scenario_2_6805cd5e	e	Visu nekad nevar zināt, taču vienmēr ir vērts būt kritiskiem un ievērot drošas informācijas apmaiņas principus, lai uzbrucēji netiktu pie mūsu informācijas.	game/scenarios/scenario_2.rpy	242	e "[what]"
scenario_2_03dbe611	e	Nobeigumā apskatīsim, kas notiktu, ja Tu tomēr uzspiestu uz kādu no neīstajām adresēm un nonāktu pikšķerētāja lapā.	game/scenarios/scenario_2.rpy	246	e "[what]"
scenario_2_d2bc5f2a	e	Izspēlēsim spēli, kurā Tu centīsies atrast {u}5{/u} pazīmes, kas liecina par pikšķerēšanas mēģinājumu.	game/scenarios/scenario_2.rpy	247	e "[what]"
scenario_2_82e83849	e	Priekšā būs bankas tīmekļa lapa. Spied uz tām vietām, kas Tev šķiet {u}aizdomīgas{/u}.	game/scenarios/scenario_2.rpy	248	e "[what]"
scenario_2_3750cb26	e	Ja uzspiedīsi uz pareizās vietas, saņemsi punktu un zaļu zivtiņu. Ja uzspiedīsi uz nepareizās vietas, zaudēsi punktu un zivs būs sarkana. Tāpēc esi uzmanīgs!	game/scenarios/scenario_2.rpy	249	e "[what]"
scenario_2_7f9fba4b		Spēles uzdevums: tīmekļa lapā atrast 5 pazīmes, kas liecina par pikšķerēšanas mēģinājumu.	game/scenarios/scenario_2.rpy	253	"[what]"
phishing_end_4bb257b4	e	Lieliski! Tu identificēji visas ēsmas, kas liecinātu, ka saite ir maldinoša.	game/scenarios/scenario_2.rpy	267	e "[what]"
phishing_end_c2a975ee	e	Nekad neievadi datus saitē, kamēr neesi pārliecinājies, ka tā ir droša.	game/scenarios/scenario_2.rpy	271	e "[what]"
phishing_end_bf7f6cbb	nvl_narrator	Aizdomīgās pazīmes bija:	game/scenarios/scenario_2.rpy	277	nvl_narrator "[what]"
phishing_end_04019ea0	nvl_narrator	1. - logo, kas neatbilst SEB bankai	game/scenarios/scenario_2.rpy	278	nvl_narrator "[what]"
phishing_end_37fb4e89	nvl_narrator	2. - drukas kļūda (Kodu klkulators)	game/scenarios/scenario_2.rpy	279	nvl_narrator "[what]"
phishing_end_b6a7297c	nvl_narrator	3. - aizdomīgā pieslēgšanās poga (krāsa un fonts)	game/scenarios/scenario_2.rpy	280	nvl_narrator "[what]"
phishing_end_c7396c7f	nvl_narrator	4. - "https:bit.ly" saite. Tādu uzbrucēji izmanto, ja vēlas paslēpt patieso adresi.	game/scenarios/scenario_2.rpy	281	nvl_narrator "[what]"
phishing_end_ac9d974f	nvl_narrator	5. - "Not secure" ziņa adreses joslā. Pārlūks brīdina, ja ir atvērta HTTP tipa saite. Arī zīme, ka lapa nav īsta.	game/scenarios/scenario_2.rpy	282	nvl_narrator "[what]"
phishing_end_6cef9641	e	Pēc visiem piemēriem var secināt, ka, lai neuzķertos uz krāpnieku āķiem, ir vienmēr jābūt kritiskiem un modriem, un secinājumus jāveido, izvērtējot vairākas pazīmes.	game/scenarios/scenario_2.rpy	290	e "[what]"
phishing_end_c0f7313a	e	Arī iesaku vienmēr nodalīt personīgos e-pastus no darba vai mācību vajadzībām paredzētiem. Kā arī jaunumiem, reklāmām un mazāk svarīgām vietnēm reģistrēties ar nodalītu e-pastu.	game/scenarios/scenario_2.rpy	291	e "[what]"
phishing_end_de107958	e	Tādā veidā var samazināt "spam" jeb mēstuļu skaitu svarīgos e-pastos.	game/scenarios/scenario_2.rpy	292	e "[what]"
phishing_end_3b0cdc1b	e	2. daļa pabeigta!	game/scenarios/scenario_2.rpy	296	e "[what]"
scenario_3_7f9aaac8	e	Esi sveicināts personāla telpās!	game/scenarios/scenario_3.rpy	81	e "[what]"
scenario_3_b3530126	e	Kā daļai no Pērles komandas, Tev būs pašam sava kajīte, kā arī tiksi pie sava jaunā darba datora.	game/scenarios/scenario_3.rpy	84	e "[what]"
scenario_3_4dc41f35	e	Droši ļaušu iekārtoties un iejusties jaunajā vidē, taču neaizmirsti reģistrēt savu kontu datorā, lai varētu pieslēgties tam.	game/scenarios/scenario_3.rpy	85	e "[what]"
scenario_3_377a8038	e	Ļoti svarīgi izveidot drošu paroli, jo ar to pašu lietotāja kontu varēsi arī pieslēgties svarīgām kuģa sistēmām. Šādā veidā varam izsekot, kādas darbības katrs darbinieks veicis, kā arī kur un kad pieslēdzies.	game/scenarios/scenario_3.rpy	86	e "[what]"
scenario_3_357224ea	e	Lai nepieļautu krāpnieku piekļuvi svarīgajām sistēmām, ir jāpārliecinās par IT drošību, sākot ar pamatu pamatiem - parolēm.	game/scenarios/scenario_3.rpy	87	e "[what]"
scenario_3_de46758b	e	Sākumā šķietami vienkāršs uzdevums: izveidot paroli! Te gan neliels bet - esmu noteicis prasības parolei, bet Tu tās pagaidām nezini.	game/scenarios/scenario_3.rpy	89	e "[what]"
scenario_3_63fcdbc9	e	Kāpēc? Vēlos, lai Tu pats izveido pēc iespējas šķietami drošāku paroli.	game/scenarios/scenario_3.rpy	91	e "[what]"
scenario_3_31e8dd3a	e	Ja parole nebūs gana droša, saņemsi prasību, kas nav izpildīta. Jo mazāk mēģinājumu, jo vairāk punktu!	game/scenarios/scenario_3.rpy	92	e "[what]"
scenario_3_edae6f89	e	Gan jau ne reizi vien nācies šādi sadzejot paroli!	game/scenarios/scenario_3.rpy	96	e "[what]"
password_loop_edf05356	e	Perfekti! Parole pieņemta ar pirmo reizi. Konts gatavs! {image=emoji/clap.png}	game/scenarios/scenario_3.rpy	114	e "[what]"
password_loop_48768d17	e	Nesanāca ar pirmo, bet tāpat labi. Konts gatavs!	game/scenarios/scenario_3.rpy	120	e "[what]"
